item,category,department,quantity_real,quantity_pred,porcent_diff
ACCESORIES_1_001,ACCESORIES,ACCESORIES_1,145,160,9.375
ACCESORIES_1_002,ACCESORIES,ACCESORIES_1,69,110,37.27272727272727
ACCESORIES_1_003,ACCESORIES,ACCESORIES_1,83,139,40.28776978417266
ACCESORIES_1_004,ACCESORIES,ACCESORIES_1,448,400,12.0
ACCESORIES_1_005,ACCESORIES,ACCESORIES_1,259,231,12.121212121212121
ACCESORIES_1_006,ACCESORIES,ACCESORIES_1,219,444,50.67567567567568
ACCESORIES_1_007,ACCESORIES,ACCESORIES_1,81,171,52.63157894736842
ACCESORIES_1_008,ACCESORIES,ACCESORIES_1,1129,1290,12.48062015503876
ACCESORIES_1_009,ACCESORIES,ACCESORIES_1,238,225,5.777777777777778
ACCESORIES_1_010,ACCESORIES,ACCESORIES_1,163,139,17.26618705035971
ACCESORIES_1_011,ACCESORIES,ACCESORIES_1,27,125,78.4
ACCESORIES_1_012,ACCESORIES,ACCESORIES_1,77,122,36.885245901639344
ACCESORIES_1_013,ACCESORIES,ACCESORIES_1,113,130,13.076923076923078
ACCESORIES_1_014,ACCESORIES,ACCESORIES_1,636,420,51.42857142857142
ACCESORIES_1_015,ACCESORIES,ACCESORIES_1,894,764,17.015706806282722
ACCESORIES_1_016,ACCESORIES,ACCESORIES_1,949,764,24.214659685863875
ACCESORIES_1_017,ACCESORIES,ACCESORIES_1,289,156,85.25641025641025
ACCESORIES_1_018,ACCESORIES,ACCESORIES_1,55,115,52.17391304347826
ACCESORIES_1_019,ACCESORIES,ACCESORIES_1,1261,1290,2.248062015503876
ACCESORIES_1_020,ACCESORIES,ACCESORIES_1,72,151,52.317880794701985
ACCESORIES_1_021,ACCESORIES,ACCESORIES_1,110,115,4.3478260869565215
ACCESORIES_1_022,ACCESORIES,ACCESORIES_1,106,142,25.352112676056336
ACCESORIES_1_023,ACCESORIES,ACCESORIES_1,417,127,228.3464566929134
ACCESORIES_1_024,ACCESORIES,ACCESORIES_1,70,142,50.70422535211267
ACCESORIES_1_025,ACCESORIES,ACCESORIES_1,154,110,40.0
ACCESORIES_1_026,ACCESORIES,ACCESORIES_1,104,131,20.610687022900763
ACCESORIES_1_027,ACCESORIES,ACCESORIES_1,76,140,45.714285714285715
ACCESORIES_1_028,ACCESORIES,ACCESORIES_1,121,154,21.428571428571427
ACCESORIES_1_029,ACCESORIES,ACCESORIES_1,326,143,127.97202797202797
ACCESORIES_1_030,ACCESORIES,ACCESORIES_1,783,764,2.486910994764398
ACCESORIES_1_031,ACCESORIES,ACCESORIES_1,90,114,21.052631578947366
