item,category,department,sell_price,quantity_real,quantity_pred,revenue_real,revenue_pred,porcent_diff
ACCESORIES_1_001,ACCESORIES,ACCESORIES_1,10.9858,83,160,911.8213999999999,1757.7279999999998,48.125
ACCESORIES_1_001,ACCESORIES,ACCESORIES_1,11.1454,62,160,691.0148,1783.2640000000001,61.25000000000001
ACCESORIES_1_002,ACCESORIES,ACCESORIES_1,5.2801,69,110,364.3269,580.811,37.27272727272727
ACCESORIES_1_003,ACCESORIES,ACCESORIES_1,3.9501,83,139,327.8583,549.0639,40.28776978417266
ACCESORIES_1_004,ACCESORIES,ACCESORIES_1,6.1712,448,400,2764.6976,2468.48,12.0
ACCESORIES_1_005,ACCESORIES,ACCESORIES_1,3.6309,52,231,188.8068,838.7379,77.48917748917748
ACCESORIES_1_005,ACCESORIES,ACCESORIES_1,3.8304,207,231,792.8928,884.8224,10.38961038961039
ACCESORIES_1_006,ACCESORIES,ACCESORIES_1,1.2768,219,444,279.6192,566.8992,50.67567567567568
ACCESORIES_1_007,ACCESORIES,ACCESORIES_1,10.4804,81,171,848.9123999999999,1792.1483999999998,52.63157894736842
ACCESORIES_1_008,ACCESORIES,ACCESORIES_1,0.6384,1129,1290,720.7536,823.536,12.48062015503876
ACCESORIES_1_009,ACCESORIES,ACCESORIES_1,2.1679,51,225,110.5629,487.7775,77.33333333333333
ACCESORIES_1_009,ACCESORIES,ACCESORIES_1,2.3541,187,225,440.21669999999995,529.6725,16.88888888888889
ACCESORIES_1_010,ACCESORIES,ACCESORIES_1,3.9501,163,139,643.8663,549.0639,17.26618705035971
ACCESORIES_1_011,ACCESORIES,ACCESORIES_1,4.6284,27,125,124.9668,578.55,78.4
ACCESORIES_1_012,ACCESORIES,ACCESORIES_1,8.6716,77,122,667.7132,1057.9352,36.885245901639344
ACCESORIES_1_013,ACCESORIES,ACCESORIES_1,2.6201,113,130,296.0713,340.613,13.076923076923078
ACCESORIES_1_014,ACCESORIES,ACCESORIES_1,1.5428,636,420,981.2207999999999,647.976,51.42857142857142
ACCESORIES_1_015,ACCESORIES,ACCESORIES_1,0.931,894,764,832.3140000000001,711.284,17.015706806282722
ACCESORIES_1_016,ACCESORIES,ACCESORIES_1,0.931,949,764,883.519,711.284,24.214659685863875
ACCESORIES_1_017,ACCESORIES,ACCESORIES_1,2.6334,289,156,761.0526,410.8104,85.25641025641025
ACCESORIES_1_018,ACCESORIES,ACCESORIES_1,15.0157,0,115,0.0,1726.8055000000002,100.0
ACCESORIES_1_018,ACCESORIES,ACCESORIES_1,15.8004,55,115,869.0219999999999,1817.046,52.17391304347826
ACCESORIES_1_019,ACCESORIES,ACCESORIES_1,0.6384,1261,1290,805.0224,823.536,2.248062015503876
ACCESORIES_1_020,ACCESORIES,ACCESORIES_1,16.8644,72,151,1214.2368,2546.5244,52.317880794701985
ACCESORIES_1_021,ACCESORIES,ACCESORIES_1,15.8004,110,115,1738.0439999999999,1817.046,4.3478260869565215
ACCESORIES_1_022,ACCESORIES,ACCESORIES_1,9.5494,106,142,1012.2364,1356.0148000000002,25.352112676056336
ACCESORIES_1_023,ACCESORIES,ACCESORIES_1,3.9501,417,127,1647.1917,501.6627,228.3464566929134
ACCESORIES_1_024,ACCESORIES,ACCESORIES_1,11.3848,70,142,796.936,1616.6416,50.70422535211267
ACCESORIES_1_025,ACCESORIES,ACCESORIES_1,5.2934,154,110,815.1836000000001,582.274,40.0
ACCESORIES_1_026,ACCESORIES,ACCESORIES_1,23.9001,104,131,2485.6104,3130.9130999999998,20.610687022900763
ACCESORIES_1_027,ACCESORIES,ACCESORIES_1,26.5734,76,140,2019.5783999999999,3720.276,45.714285714285715
ACCESORIES_1_028,ACCESORIES,ACCESORIES_1,10.6134,121,154,1284.2214000000001,1634.4636,21.428571428571427
ACCESORIES_1_029,ACCESORIES,ACCESORIES_1,11.9434,326,143,3893.5484,1707.9062000000001,127.97202797202797
ACCESORIES_1_030,ACCESORIES,ACCESORIES_1,0.931,783,764,728.9730000000001,711.284,2.486910994764398
ACCESORIES_1_031,ACCESORIES,ACCESORIES_1,14.5901,3,114,43.7703,1663.2713999999999,97.36842105263158
ACCESORIES_1_031,ACCESORIES,ACCESORIES_1,14.6034,87,114,1270.4958000000001,1664.7876,23.684210526315788
ACCESORIES_1_032,ACCESORIES,ACCESORIES_1,0.7581,949,854,719.4369,647.4174,11.124121779859484
ACCESORIES_1_033,ACCESORIES,ACCESORIES_1,22.4238,68,123,1524.8184,2758.1274,44.71544715447154
ACCESORIES_1_034,ACCESORIES,ACCESORIES_1,6.4638,158,154,1021.2804,995.4252,2.5974025974025974
ACCESORIES_1_035,ACCESORIES,ACCESORIES_1,2.8196,47,233,132.5212,656.9667999999999,79.82832618025752
ACCESORIES_1_036,ACCESORIES,ACCESORIES_1,1.4896,167,310,248.7632,461.776,46.12903225806452
ACCESORIES_1_037,ACCESORIES,ACCESORIES_1,16.9841,154,172,2615.5514000000003,2921.2652000000003,10.465116279069768
ACCESORIES_1_037,ACCESORIES,ACCESORIES_1,17.2501,102,172,1759.5102,2967.0172,40.69767441860465
ACCESORIES_1_038,ACCESORIES,ACCESORIES_1,4.2161,27,259,113.8347,1091.9699,89.57528957528957
ACCESORIES_1_038,ACCESORIES,ACCESORIES_1,4.2826,70,259,299.78200000000004,1109.1934,72.97297297297297
ACCESORIES_1_039,ACCESORIES,ACCESORIES_1,7.8204,36,104,281.5344,813.3216,65.38461538461539
